Crop_Medicine,Uses_When_to_Use
Neem Oil,"For rice crops, use when aphids is seen at the early crop stage. Use only as per label and local agriculture advice. Keep a record of field observations."
Azadirachtin,"For wheat crops, use when mites is seen at the during humid weather. Use only after confirming the problem in the field. Check weather before any field spray."
Trichoderma viride,"For maize crops, use when powdery mildew is seen at the before disease spreads widely. Use as a preventive support when risk is high. Prefer soil testing for repeated nutrient issues."
Pseudomonas fluorescens,"For cotton crops, use when early blight is seen at the fruiting stage. Use in an integrated pest management plan. Rotate methods to reduce resistance risk."
Bacillus subtilis,"For tomato crops, use when wilt is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Combine with sanitation and field monitoring."
Bacillus thuringiensis (Bt),"For chili crops, use when poor flowering is seen at the vegetative stage. Use for bio-based field protection and crop support. Keep a record of field observations."
Copper Oxychloride,"For potato crops, use when moisture stress is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Check weather before any field spray."
Mancozeb,"For onion crops, use when bacterial spotting is seen at the during transplant recovery. Use only after confirming the problem in the field. Prefer soil testing for repeated nutrient issues."
Sulphur Dust,"For garlic crops, use when sucking pests is seen at the after first symptom appearance. Use as a preventive support when risk is high. Rotate methods to reduce resistance risk."
Humic Acid,"For brinjal crops, use when thrips is seen at the when crop growth slows down. Use in an integrated pest management plan. Combine with sanitation and field monitoring."
Seaweed Extract,"For cabbage crops, use when leaf folder is seen at the flowering stage. Use when symptoms first appear and monitor results. Keep a record of field observations."
Zinc Sulphate,"For cauliflower crops, use when leaf spot is seen at the when pest count increases. Use for bio-based field protection and crop support. Check weather before any field spray."
Ferrous Sulphate,"For okra crops, use when root rot is seen at the early crop stage. Use only as per label and local agriculture advice. Prefer soil testing for repeated nutrient issues."
Calcium Nitrate,"For grapes crops, use when yellowing leaves is seen at the during humid weather. Use only after confirming the problem in the field. Rotate methods to reduce resistance risk."
Potassium Nitrate,"For banana crops, use when soil health stress is seen at the before disease spreads widely. Use as a preventive support when risk is high. Combine with sanitation and field monitoring."
Boron Spray,"For mango crops, use when fungal infection is seen at the fruiting stage. Use in an integrated pest management plan. Keep a record of field observations."
Gypsum,"For apple crops, use when fruit borer is seen at the when leaves show yellow patches. Use when symptoms first appear and monitor results. Check weather before any field spray."
Lime,"For soybean crops, use when whiteflies is seen at the vegetative stage. Use for bio-based field protection and crop support. Prefer soil testing for repeated nutrient issues."
Sticky Trap,"For groundnut crops, use when stem borer is seen at the after heavy rainfall. Use only as per label and local agriculture advice. Rotate methods to reduce resistance risk."
Pheromone Trap,"For sugarcane crops, use when downy mildew is seen at the during transplant recovery. Use only after confirming the problem in the field. Combine with sanitation and field monitoring."
Spinosad,"For tea crops, use when late blight is seen at the after first symptom appearance. Use as a preventive support when risk is high. Keep a record of field observations."
Horticultural Soap,"For coffee crops, use when nutrient deficiency is seen at the when crop growth slows down. Use in an integrated pest management plan. Check weather before any field spray."
Compost Tea,"For cucumber crops, use when fruit drop is seen at the flowering stage. Use when symptoms first appear and monitor results. Prefer soil testing for repeated nutrient issues."
Silicon Supplement,"For pumpkin crops, use when seedling disease is seen at the when pest count increases. Use for bio-based field protection and crop support. Rotate methods to reduce resistance risk."
Mycorrhiza,"For watermelon crops, use when weed pressure is seen at the early crop stage. Use only as per label and local agriculture advice. Combine with sanitation and field monitoring."
