ID,Crop,Problem,Weather,Soil_Type,Growth_Stage,Severity,Recommended_Medicine,Medicine_Type,Application_Method,Uses_When_To_Use
1,Rice,Aphids,Dry,Sandy,Seedling,Low,Neem Oil,Bio-pesticide,Nursery treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Start field scouting early. Recheck the crop 3 to 5 days after use.
2,Rice,Aphids,Dry,Sandy,Seedling,Medium,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Use only after field diagnosis.
3,Rice,Aphids,Dry,Sandy,Seedling,High,Neem Oil,Bio-pesticide,Broadcast with guidance,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Recheck the crop 3 to 5 days after use.
4,Rice,Aphids,Dry,Sandy,Seedling,Very High,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Recheck the crop 3 to 5 days after use.
5,Rice,Aphids,Dry,Sandy,Vegetative,Low,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Remove heavily infested shoots. Follow label instructions and local agricultural guidance.
6,Rice,Aphids,Dry,Sandy,Vegetative,Medium,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Follow label instructions and local agricultural guidance.
7,Rice,Aphids,Dry,Sandy,Vegetative,High,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Remove heavily infested shoots. Do not mix without expert advice.
8,Rice,Aphids,Dry,Sandy,Vegetative,Very High,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Start field scouting early. Combine with sanitation and scouting.
9,Rice,Aphids,Dry,Sandy,Flowering,Low,Neem Oil,Bio-pesticide,Trap-based monitoring,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Remove heavily infested shoots. Do not mix without expert advice.
10,Rice,Aphids,Dry,Sandy,Flowering,Medium,Neem Oil,Bio-pesticide,Nursery treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Remove heavily infested shoots. Rotate modes of action where relevant.
11,Rice,Aphids,Dry,Sandy,Flowering,High,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Remove heavily infested shoots. Combine with sanitation and scouting.
12,Rice,Aphids,Dry,Sandy,Flowering,Very High,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Remove heavily infested shoots. Recheck the crop 3 to 5 days after use.
13,Rice,Aphids,Dry,Sandy,Fruiting,Low,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Rotate modes of action where relevant.
14,Rice,Aphids,Dry,Sandy,Fruiting,Medium,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Remove heavily infested shoots. Combine with sanitation and scouting.
15,Rice,Aphids,Dry,Sandy,Fruiting,High,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Follow label instructions and local agricultural guidance.
16,Rice,Aphids,Dry,Sandy,Fruiting,Very High,Neem Oil,Bio-pesticide,Nursery treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Rotate modes of action where relevant.
17,Rice,Aphids,Dry,Sandy,Transplant Recovery,Low,Neem Oil,Bio-pesticide,Broadcast with guidance,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Remove heavily infested shoots. Follow label instructions and local agricultural guidance.
18,Rice,Aphids,Dry,Sandy,Transplant Recovery,Medium,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Remove heavily infested shoots. Follow label instructions and local agricultural guidance.
19,Rice,Aphids,Dry,Sandy,Transplant Recovery,High,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Remove heavily infested shoots. Do not mix without expert advice.
20,Rice,Aphids,Dry,Sandy,Transplant Recovery,Very High,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Do not mix without expert advice.
21,Rice,Aphids,Dry,Sandy,Pre-harvest,Low,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Recheck the crop 3 to 5 days after use.
22,Rice,Aphids,Dry,Sandy,Pre-harvest,Medium,Neem Oil,Bio-pesticide,Foliar spray,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Recheck the crop 3 to 5 days after use.
23,Rice,Aphids,Dry,Sandy,Pre-harvest,High,Neem Oil,Bio-pesticide,Seed treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Start field scouting early. Follow label instructions and local agricultural guidance.
24,Rice,Aphids,Dry,Sandy,Pre-harvest,Very High,Neem Oil,Bio-pesticide,Soil application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Sandy soil may need careful moisture management. Avoid excess nitrogen application. Combine with sanitation and scouting.
25,Rice,Aphids,Dry,Loamy,Seedling,Low,Neem Oil,Bio-pesticide,Broadcast with guidance,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Avoid excess nitrogen application. Do not mix without expert advice.
26,Rice,Aphids,Dry,Loamy,Seedling,Medium,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Start field scouting early. Use only after field diagnosis.
27,Rice,Aphids,Dry,Loamy,Seedling,High,Neem Oil,Bio-pesticide,Spot treatment,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Start field scouting early. Combine with sanitation and scouting.
28,Rice,Aphids,Dry,Loamy,Seedling,Very High,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Recheck the crop 3 to 5 days after use.
29,Rice,Aphids,Dry,Loamy,Vegetative,Low,Neem Oil,Bio-pesticide,Drip application,Use when aphid colonies appear on tender shoots or leaf undersides. This is generally more relevant in dry conditions. Dry weather can favor mites and sucking pests. Loamy soil is generally suitable for balanced crop growth. Remove heavily infested shoots. Recheck the crop 3 to 5 days after use.
